video_clip_name,class,Xmin,Ymin,Xmax,Ymax
zrrM6Qg2Dwg_000030,playing steelpan,0.296875,0.6,0.6125,0.85
B6V6cA5p08M_000083,people belly laughing,0.15,0.103125,0.384375,0.528125
1F9zCsJyw6k_000230,police car (siren),0.303125,0.48125,0.625,0.634375
_QsEc34hEik_000053,tap dancing,0.39375,0.45,0.7,0.68125
kpBkoalXnXM_000228,people gargling,0.384375,0.11875,0.60625,0.4125
xcYIvw3nMLE_000000,tractor digging,0.01875,0.25625,0.5437500000000001,0.99375
eA1dUOMkkvM_000000,smoke detector beeping,0.228125,0.003125,0.76875,0.7093750000000001
fn41SZiLTUQ_000083,opening or closing car electric windows,0.009375,0.0,0.95625,0.9625
dYL0n0ZJxkA_000039,train whistling,0.0,0.015625,0.99375,0.95
z6oOz1AYk7Y_000041,smoke detector beeping,0.178125,0.109375,0.553125,0.790625
URtpQZsUmBY_000030,"cattle, bovinae cowbell",0.065625,0.246875,0.7875000000000001,0.98125
qYjhJeSVJ2A_000030,singing bowl,0.096875,0.071875,0.925,0.953125
052VMqTM4Xs_000000,"donkey, ass braying",0.178125,0.175,0.615625,0.9437500000000001
PfF-ishRsno_000048,playing bongo,0.2125,0.409375,0.9656250000000001,0.9906250000000001
P5tsRM1iokA_000030,"playing steel guitar, slide guitar",0.128125,0.796875,0.7906249999999999,0.9875
Bg7_qkxGkAA_000020,woodpecker pecking tree,0.175,0.20625,0.56875,0.653125
wjLClGwjeIU_000114,airplane flyby,0,0.128125,0.996875,0.7281249999999999
_Zl_z4n_T9M_000471,playing drum kit,0.00625,0.215625,0.95,0.9937499999999999
_r--eecSZRk_000024,airplane flyby,0.39375,0.35625,0.484375,0.45
eu_Ehoag0Vg_000244,people booing,0.015625,0.26875,0.978125,0.484375
39rXWSXGOyo_000080,cat purring,0.190625,0.0,0.753125,0.959375
odDT-H4NqXc_000022,lathe spinning,0.371875,0.184375,0.7875000000000001,0.784375
e_ySE_yqUyg_000130,"electric shaver, electric razor shaving",0.70625,0.509375,0.853125,0.759375
dyFoyYMZu-E_000508,lip smacking,0.4,0.4125,0.61875,0.60625
-d1KR2BSfHM_000065,squishing water,0.05625,0.13125,0.7000000000000001,0.734375
IkUsSY47oBk_000020,people babbling,0.496875,0.025,0.671875,0.39687500000000003
PdLEZFUyy84_000095,penguins braying,0.38125,0.23125,0.659375,0.871875
XBMeUqtyXpM_000030,singing choir,0.0,0.128125,0.9875,0.95625
SJVuopldMyU_000030,"bird chirping, tweeting",0.246875,0.153125,0.61875,0.9937499999999999
bl5PHVntD70_000009,"fly, housefly buzzing",0.421875,0.015625,0.95625,0.784375
FbwgXeLSRTE_000002,wood thrush calling,0.325,0.115625,0.7093750000000001,0.890625
urZASbmHOO8_000130,machine gun shooting,0.05625,0.16875,0.9,0.575
vuGwgfWdi5Q_000000,gibbon howling,0.003125,0.0,0.459375,0.965625
MYxhRD4RVmQ_000010,vacuum cleaner cleaning floors,0.390625,0.325,0.60625,0.665625
97IV2XK2l3U_000000,"ice cream truck, ice cream van",0.584375,0.30625,0.846875,0.5218750000000001
kEnOc-apG_o_000078,beat boxing,0.4625,0.015625,0.975,0.978125
f1Z-HuZ-_ZA_000030,dog barking,0.38125,0.003125,0.871875,0.65625
61AWnBVuJL0_000040,people sobbing,0.0,0.115625,0.715625,0.6125
mSlE2F9N-8g_000030,singing bowl,0.04375,0.578125,0.965625,0.975
mEslZvugQCc_000030,"male speech, man speaking",0.4375,0.16875,0.765625,0.7093750000000001
TRvyzeR1xzI_000190,playing congas,0.0625,0.1625,0.659375,0.990625
CCX_4cW_SAU_000000,"subway, metro, underground",0.45,0.3875,0.7375,0.74375
PJmIra-c8cc_000173,"playing violin, fiddle",0.43125,0.34375,0.984375,0.7
Zgogkej7gHg_000274,sheep bleating,0.0875,0.778125,0.175,0.875
-oSzD8P2BtU_000030,reversing beeps,0.471875,0.303125,0.971875,0.66875
Bg2XkNb5LZE_000140,playing french horn,0.334375,0.440625,0.75,0.903125
as7MhTe961k_000170,playing saxophone,0.41875,0.334375,0.50625,0.559375
c4r8Kd6Q1n8_000008,airplane flyby,0.3,0.434375,0.60625,0.728125
Mqlg9NYMidw_000011,air conditioning noise,0.028125,0.00625,0.9937499999999999,0.359375
5i5ZKyhw_gg_000113,opening or closing car electric windows,0.03125,0.0,0.9125,0.971875
UqtPREndv_0_000000,people eating crisps,0.23125,0.065625,0.5218750000000001,0.53125
PaZ4aVEsPsE_000019,"playing violin, fiddle",0.4375,0.5125,0.9,0.7625
m-FO9gFY5Go_000030,people hiccup,0.0125,0.28125,0.578125,0.746875
KuFurXDu4l8_000000,people marching,0.0,0.175,0.99375,0.840625
aUfDxRelPHg_000022,lions roaring,0.1,0.328125,0.99375,0.984375
RnXiQh8x--c_000126,telephone bell ringing,0.009375,0.0,0.759375,0.84375
o1psbzO1YPU_000065,"fly, housefly buzzing",0.49375,0.478125,0.625,0.6781250000000001
DymSRUrjT5c_000560,using sewing machines,0.4,0.0,0.86875,0.5125
zey5f-NjbtE_000201,people giggling,0.375,0.003125,0.91875,0.7250000000000001
M1P1xla8rg0_000000,playing tambourine,0.26875,1.0,0.753125,1.0
84JbG7gFceA_000007,playing castanets,0.421875,0.35,0.578125,0.60625
7GZdzd_wcBg_000230,fireworks banging,0.015625,0.015625,0.96875,0.984375
UKgZCUgOSfo_000062,warbler chirping,0.384375,0.2125,0.71875,0.7937500000000001
gklbB7TYoK4_000030,baby laughter,0.334375,0.0,0.6656249999999999,0.6875
liZ8HrN_mKQ_000190,dog bow-wow,0.05,0.03125,0.696875,0.95
Fz-dxPOWP58_000038,baby crying,0.440625,0.009375,0.9937499999999999,0.971875
IL3ThGKdOMk_000221,tractor digging,0.00625,0.0,0.5,0.853125
MM78BP5nkUs_000417,lip smacking,0.59375,0.003125,0.809375,0.165625
9e6oA02wk94_000020,singing bowl,0.265625,0.365625,0.665625,0.81875
XcyHfR180hA_000008,playing congas,0.31875,0.653125,0.584375,0.8999999999999999
Hmh623kqD5g_000030,playing theremin,0.253125,0.60625,0.675,0.8624999999999999
qfwEfapK0go_000038,elk bugling,0.26875,0.1625,0.6875,0.9125
WMZ3ZAMcE3s_000220,cat hissing,0.359375,0.440625,0.51875,0.684375
D1tl1eS7ubI_000000,"female speech, woman speaking",0.496875,0.146875,0.70625,0.49687499999999996
GC1ajVlK-ek_000050,"railroad car, train wagon",0.3125,0.459375,0.465625,0.640625
NqzZbJJl3E4_000030,reversing beeps,0.36875,0.0,0.9125,0.86875
z8Wjdss5uMg_000010,playing piano,0.315625,0.309375,0.9937499999999999,0.9125000000000001
B6d2FiFv8tU_000002,"donkey, ass braying",0.246875,0.26875,0.7,0.8999999999999999
svnqpdO-7fc_000066,chinchilla barking,0.31875,0.209375,0.79375,0.990625
XzqUa_35-xs_000002,pheasant crowing,0.225,0.303125,0.559375,0.69375
ZGubbE6cRL0_000040,people burping,0.371875,0.065625,0.64375,0.64375
NyWZtL6Essc_000038,people belly laughing,0.271875,0.003125,0.553125,0.49374999999999997
_eBYRnly4m8_000097,playing cornet,0.26875,0.4375,0.590625,0.93125
TPeA5xENWIM_000065,cuckoo bird calling,0.70625,0.515625,0.9375,0.965625
4BFOgNwhpkQ_000303,eagle screaming,0.23125,0.1875,0.7250000000000001,0.99375
z4HX8-du2nQ_000070,helicopter,0.071875,0.384375,0.89375,0.759375
cmB8l4mQ1XQ_000030,playing accordion,0.23125,0.125,0.653125,0.71875
Fo_FDiZhzDo_000030,skidding,0.359375,0.565625,0.60625,0.721875
2Pl5B1Tpn1U_000024,electric grinder grinding,0.153125,0.009375,0.596875,0.65625
4Psj5jYa7a4_000020,playing didgeridoo,0.41875,0.278125,0.528125,0.98125
0mNvPaqfwUI_000220,"railroad car, train wagon",0.259375,0.203125,0.8125,0.890625
R1dfaoCfy88_000003,playing trombone,0.346875,0.2,0.5,0.471875
TOEwQXeyNe8_000227,bull bellowing,0.040625,0.353125,0.584375,0.95625
75PJeJ2hGcw_000030,cat meowing,0.06875,0.303125,0.553125,0.85625
IS2lQophwDw_000050,people hiccup,0.31875,0.125,0.715625,0.771875
l1coM570kVw_000030,male singing,0.48125,0.08125,0.63125,0.440625
mWaz8lJKZe8_000140,playing trumpet,0.471875,0.421875,0.746875,0.709375
VViXFIbJNbk_000130,people finger snapping,0.475,0.446875,0.7124999999999999,0.809375
BqY5blRv2Lw_000090,playing theremin,0.278125,0.625,0.76875,0.990625
KCXiP1di11k_000028,people booing,0.3875,0.08125,0.653125,0.5593750000000001
DJbFAoB4-_o_000170,people hiccup,0.234375,0.19375,0.68125,0.5375
28StN9ykZ68_000094,beat boxing,0.628125,0.515625,0.7125,0.584375
RHYNFIUe7H8_000001,canary calling,0.371875,0.365625,0.878125,0.928125
x1BSrucmESI_000039,snake rattling,0.10625,0.096875,0.7749999999999999,0.9875
xN-nKHyKx3E_000504,playing snare drum,0.19375,0.159375,0.73125,0.753125
OGyMalgBFxY_000001,lions growling,0.340625,0.36875,0.490625,0.5
lNTgZsEJqEo_000103,train whistling,0.009375,0.10625,0.65,0.9937499999999999
nhAiQyirHe0_000127,wood thrush calling,0.209375,0.19375,0.821875,0.8375
uh5D5Uuteew_000074,fox barking,0.434375,0.440625,0.525,0.546875
9grtLEqt_RM_000330,people belly laughing,0.3625,0.05,0.59375,0.509375
4xWlOt4GOzs_000094,bull bellowing,0.003125,0.053125,0.46875,0.7843749999999999
gTUu9V5zAME_000078,playing shofar,0.096875,0.009375,0.6937500000000001,0.36875
3GtKbvwaycY_000037,playing bassoon,0.259375,0.196875,0.9031250000000001,0.978125
EksjhWF0zqE_000020,waterfall burbling,0.434375,0.03125,0.7875000000000001,0.73125
ohQhjIk-qB0_000132,tractor digging,0.525,0.121875,0.8343750000000001,0.5656249999999999
ItIo1RvO0PE_000020,church bell ringing,0.325,0.18125,0.50625,0.7468750000000001
r1j1X3KJibM_000194,train whistling,0,0.078125,0.8125,0.99375
jtRq_vXe9uQ_000246,lathe spinning,0.153125,0.08125,0.878125,0.8343750000000001
cK5aT07gOis_000151,"playing steel guitar, slide guitar",0.0,0.50625,0.990625,0.990625
qJCY09mrxtg_000216,dinosaurs bellowing,0.296875,0.23125,0.94375,0.9468749999999999
uA6Ycad4cLg_000173,blowtorch igniting,0.21875,0.415625,0.675,0.640625
4WH0ZxvF9Nw_000003,otter growling,0.19375,0.0,0.903125,0.809375
YNwgT_8Vniw_000018,air horn,0.003125,0.046875,0.76875,0.853125
WgllfeO855E_000147,playing congas,0.309375,0.496875,0.4625,0.59375
476vNb6thyM_000030,playing acoustic guitar,0.0375,0.01875,0.9625,0.95625
-t-htrAtNvM_000030,reversing beeps,0.059375,0.0,0.9406249999999999,0.875
6TrIWYcBxBM_000010,people hiccup,0.465625,0.175,0.5875,0.34062499999999996
yvGSUZAf_CI_000230,"cattle, bovinae cowbell",0.121875,0.334375,0.60625,0.646875
91k-dD34c94_000560,playing gong,0.165625,0.14375,0.8406250000000001,0.98125
HLxIwN7KAks_000020,people sneezing,0.171875,0.234375,0.60625,0.80625
DexDu4FDEWM_000031,driving snowmobile,0.41875,0.315625,0.65,0.546875
y8Gfi9gGPRc_000248,people giggling,0.071875,0.184375,0.875,0.8062499999999999
Rg971GlT_Ro_000021,"pigeon, dove cooing",0.43125,0.596875,0.553125,0.721875
jTuNUZEFBJk_000100,orchestra,0.209375,0.325,0.84375,0.9906250000000001
eB0kQ_zYdHc_000180,vacuum cleaner cleaning floors,0.678125,0.759375,0.809375,0.98125
15pi8h_bHQE_000173,cow lowing,0.55625,0.196875,0.965625,0.99375
oPBrZeFpToY_000090,baby laughter,0.2875,0.253125,0.6125,0.675
emRK12scb7w_000068,gibbon howling,0.353125,0.028125,0.534375,0.43125
_-W48cCMzXU_000102,baltimore oriole calling,0.165625,0.459375,0.4,0.896875
hm4pu5tkD0U_000154,playing table tennis,0.18125,0.353125,0.69375,0.65
pCF6jJMaCnU_000030,playing harpsichord,0.353125,0.553125,0.853125,0.8687499999999999
kLySMIzASNE_000030,typing on typewriter,0,0.10625,0.2875,0.6499999999999999
PaQGXIh94uc_000150,playing ukulele,0.425,0.55625,0.9156249999999999,0.99375
fQRh2QW5RX8_000030,"bird chirping, tweeting",0.315625,0.334375,0.540625,0.79375
ipSnR0fR_uA_000058,pheasant crowing,0.4125,0.31875,0.66875,0.6656249999999999
AA0Ekw6dlQo_000046,playing oboe,0.453125,0.165625,0.99375,0.515625
1JsIcP2nXMw_000108,fox barking,0.36875,0.2625,0.6312500000000001,0.778125
nXY2Vrfm0vY_000001,slot machine,0.19375,0.0875,0.8375,0.6625
_Oq8cy6T4KA_000091,tap dancing,0.109375,0.890625,0.178125,0.953125
zk1GeJP6Y00_000000,sea lion barking,0.00625,0.125,0.8312499999999999,0.9625
SRjsxeOWFnw_000030,"motorboat, speedboat acceleration",0.271875,0.309375,0.740625,0.653125
DQIwRVrlYqI_000159,baltimore oriole calling,0.625,0.5125,0.790625,0.79375
PLSAAmBa0Rc_000310,helicopter,0.190625,0.49375,0.578125,0.74375
46t-4NFQ9_w_000002,cat meowing,0.03125,0.009375,0.878125,0.99375
j_cywbssn70_000115,child singing,0.259375,0.1375,0.484375,0.525
_Qnw4_agm-0_000030,playing harp,0.31875,0.040625,0.7625,0.99375
c40hgtfiYm0_000010,typing on typewriter,0.371875,0.271875,0.9937499999999999,0.825
9OcAwC8y-eQ_000030,reversing beeps,0.553125,0.434375,0.88125,0.76875
_GoMg7oF7Ww_000074,train whistling,0.025,0.190625,0.990625,0.9937499999999999
-W3WpZvJX2o_000027,bathroom ventilation fan running,0.590625,0.328125,0.6968749999999999,0.603125
bM5Ha8d-DoM_000009,coyote howling,0.278125,0.309375,0.625,0.909375
UVsgxlTzy-c_000073,playing washboard,0.19375,0.175,0.7687499999999999,0.89375
9i3NIA1NLeY_000060,playing harpsichord,0.228125,0.534375,0.884375,0.909375
2g5hx_rynAI_000035,playing shofar,0.525,0.15625,0.878125,0.321875
_-UGWlp0IG0_000150,people whistling,0.51875,0.253125,0.603125,0.34062499999999996
gPekns88rQA_000270,"cattle, bovinae cowbell",0.16875,0.234375,0.9937499999999999,0.6
hTxXqAik2UU_000058,coyote howling,0.103125,0.146875,0.790625,0.88125
UY4v-zjlnlo_000010,"playing violin, fiddle",0.43125,0.40625,0.890625,0.78125
KXRngbBe0bg_000080,tapping guitar,0.0875,0.525,0.8625,0.9437500000000001
aSJKZRwMsxE_000050,female singing,0.20625,0.49375,0.25625,0.565625
aFKTFN8p-pw_000053,playing cornet,0.31875,0.4625,0.903125,1.0
3IwOig7sw6c_000030,chainsawing trees,0.25625,0.39375,0.5375,0.803125
wPfv8ifzzyg_000030,lawn mowing,0.121875,0.3875,0.54375,0.821875
jGOFaS079Rc_000081,yodelling,0.34375,0.021875,0.59375,0.49374999999999997
N0c6P3Po5J0_000118,cuckoo bird calling,0.484375,0.209375,0.6375,0.490625
a23NBJ73THw_000045,tractor digging,0.0,0.015625,0.98125,0.925
7yk8XI5q7go_000030,orchestra,0.259375,0.325,0.44062500000000004,0.9781249999999999
twvjW7ymUIQ_004159,cat purring,0.034375,0.48125,0.853125,0.9437500000000001
1FnA3w94zXI_000030,tapping guitar,0.003125,0.153125,0.984375,0.8500000000000001
-_QPd-VskKY_000030,mouse squeaking,0.346875,0.065625,0.70625,0.68125
SHk3gJAnm8U_000529,people sniggering,0.66875,0.075,0.990625,0.8218749999999999
HOqx0IZGgBk_000286,train whistling,0.03125,0.19375,0.99375,0.684375
ux7HhOxMRE4_000020,dog barking,0.15625,0.146875,0.8375,0.990625
tXLaQKRWM8I_000000,dog baying,0.05,0.321875,0.303125,0.58125
Nluf6HIYXXQ_000030,dog howling,0.128125,0.1625,0.7375,0.96875
10YXuv9Go0E_000140,skateboarding,0.375,0.653125,0.56875,0.8624999999999999
qoVQyvJcKkQ_000460,people eating noodle,0.40625,0.0,0.74375,0.5875
5qVc9y3TNnY_000030,female singing,0.325,0.1625,0.60625,0.515625
9XuTWG0Svls_000041,popping popcorn,0.053125,0.059375,0.903125,0.990625
g0RkIkC2meo_000030,fire truck siren,0.46875,0.159375,0.809375,0.7562500000000001
Jj3Ie49Mzik_000020,people whistling,0.403125,0.540625,0.63125,0.74375
ZedCPKaacjU_000326,airplane,0.059375,0.18125,0.975,0.834375
vf8cYm5yVy4_000026,air horn,0.05,0.03125,0.953125,0.734375
A8gbOIvxvMA_000030,playing cello,0.090625,0.084375,0.309375,0.9562499999999999
ycjnLHuYx7U_000035,playing mandolin,0.353125,0.553125,0.7406250000000001,0.990625
1Isq_KJHriU_000016,dog baying,0.7375,0.584375,0.915625,0.984375
pX0Jhk6e2Uw_000030,playing trumpet,0.3,0.31875,0.6968749999999999,0.809375
LDGzSk_vzPo_000260,bird wings flapping,0.625,0.134375,0.909375,0.48124999999999996
XySWOKnenIA_000000,electric grinder grinding,0.20625,0.6125,0.43125,0.8406250000000001
amEW4O2Z350_000035,playing glockenspiel,0.0,0.015625,1.0,0.990625
oswEaAsFXDM_000170,car engine starting,0.321875,0.13125,0.915625,0.734375
N8iIq2UzZLk_000030,playing acoustic guitar,0.19375,0.446875,0.9,0.7875000000000001
7RNTXUuCKoQ_000029,children shouting,0.3875,0.5875,0.53125,0.765625
ov4fdnGwzWU_000520,playing trumpet,0.38125,0.340625,0.5625,0.89375
rmL21Z7wZuk_000020,blowtorch igniting,0.109375,0.146875,0.96875,0.8156249999999999
8JgqLELdUkY_000030,cat meowing,0.33125,0.23125,0.784375,0.96875
Bgnaur8-fas_000160,playing bongo,0.0,0.453125,0.80625,0.76875
Ii5W65uAeF0_000056,people slurping,0.296875,0.015625,0.59375,0.253125
z6oqPB07X3o_000030,people sniggering,0.125,0.00625,0.478125,0.296875
D3BJuOwltoI_000010,driving motorcycle,0.503125,0.51875,0.775,0.9875
aWgRtDIA2U4_000029,turkey gobbling,0.159375,0.26875,0.79375,0.8218749999999999
d-1th_S4J0U_000000,people belly laughing,0.334375,0.325,0.628125,0.7125
_6gpB_Trvo8_000000,car engine starting,0.134375,0.353125,0.83125,0.71875
B7Iab-AC3Dw_000110,playing bass drum,0.43125,0.421875,0.8343750000000001,0.78125
GrACpo7aonA_000030,playing drum kit,0.00625,0.009375,0.9874999999999999,0.86875
_QjCOK638vc_000036,parrot talking,0.19375,0.271875,0.75,0.98125
rLa17dibI70_000175,children shouting,0.0,0.215625,0.20625,0.65
aS5eOryeLbM_000210,singing bowl,0.15,0.028125,0.865625,0.96875
TZl2cGkWZL4_000030,dog bow-wow,0.196875,0.4,0.503125,0.978125
3sQrJVyxju0_000065,playing mandolin,0.0,0.64375,0.81875,0.99375
acepdtp7F7Y_000348,people eating apple,0.371875,0.203125,0.64375,0.60625
kwJKOXT5XR8_000255,train wheels squealing,0.015625,0,0.99375,0.75625
aFfXpjfI2nk_000090,people coughing,0.178125,0.146875,0.63125,0.8375
4q9NPjOpWy8_000146,wood thrush calling,0.421875,0.246875,0.725,0.628125
ZlOdV1o8SpY_000004,playing washboard,0.115625,0.396875,0.39375000000000004,0.9375
2drXOn18U3Q_000136,slot machine,0.04375,0.021875,0.9624999999999999,0.96875
ywS3pG7yQfg_000161,tap dancing,0.59375,0.465625,0.9,0.8
qViEyqjnY3M_000159,police car (siren),0.0875,0.159375,0.99375,0.953125
M9r2bFnSN1w_000433,forging swords,0.14375,0.03125,0.90625,0.940625
48zE-hRAYEA_000030,machine gun shooting,0.021875,0.15625,0.5625,0.509375
3t6pqBKV0kY_000030,"motorboat, speedboat acceleration",0.0,0.53125,0.525,0.99375
1Qvce8w_Vds_000011,people nose blowing,0.134375,0.0,0.5875,0.990625
M83C5w1YAdc_000010,people whistling,0.103125,0.453125,0.24687499999999998,0.5875
4dGlrvX_EfI_000020,"engine accelerating, revving, vroom",0.346875,0.259375,0.875,0.721875
pJnmT-ViaBk_000012,baltimore oriole calling,0.128125,0.375,0.765625,0.79375
9uOOfuRD6Fc_000070,"railroad car, train wagon",0.0125,0.240625,0.9781249999999999,0.8875
DjqOjkoVu3M_000153,alarm clock ringing,0.371875,0.0,0.70625,0.896875
rRzWGIhwWAI_000030,playing flute,0.003125,0.36875,0.5125000000000001,0.54375
4Tpy1lsfcSM_000030,reversing beeps,0.30625,0.053125,0.8125,0.6875
_kgVaDLEXMQ_000047,snake hissing,0.31875,0.05625,0.6031249999999999,0.940625
jwxvQraiIGs_000084,pheasant crowing,0.209375,0.0,0.953125,0.953125
Db6Hjt0x28k_000056,playing timbales,0.384375,0.859375,0.696875,-2.8823037615171176e+16
1sukRxLM77w_000021,hedge trimmer running,0.003125,0.234375,0.49374999999999997,0.678125
hIYihNrwF2Q_000440,cap gun shooting,0.765625,0.246875,0.98125,0.65
a4HgsaaMErU_000000,driving motorcycle,0.15,0.0,0.89375,0.94375
u0aPBeSCVvI_000000,magpie calling,0.203125,0.20625,0.590625,0.7
-Vo4CAMX26U_000030,playing didgeridoo,0.478125,0.309375,0.946875,0.9937499999999999
ypOiMHz2Lz0_000000,bathroom ventilation fan running,0.190625,0.0125,0.73125,0.59375
_X69MdLl5rU_000176,dog bow-wow,0.553125,0.61875,0.9937499999999999,0.99375
0QabiRBcEKc_000050,"male speech, man speaking",0.25,0.3,0.61875,0.6656249999999999
5A0sMC5olxI_000380,"playing violin, fiddle",0.290625,0.240625,0.565625,0.403125
25QsgUI0x8U_000020,orchestra,0.375,0.290625,0.628125,0.7562500000000001
oEMLpCOWrqY_000030,cat caterwauling,0.29375,0.371875,0.7875000000000001,0.86875
fwKMB57hL6E_000056,pheasant crowing,0.125,0.128125,0.415625,0.765625
WJVc82XgbZk_000014,woodpecker pecking tree,0.009375,0.2375,0.7781250000000001,0.9937499999999999
AcHARmL5j-g_000004,chinchilla barking,0.15,0.096875,0.675,0.7562500000000001
xHnIZIPMRNg_000041,francolin calling,0.178125,0.03125,0.965625,0.575
5xVe-bGbbYA_000045,playing erhu,0.503125,0.309375,0.6781250000000001,0.609375
9t0s8TUHMiM_000020,snake hissing,0.10625,0.034375,0.96875,0.9281250000000001
XUlxqSC9j9s_000007,wind chime,0.40625,0.015625,0.809375,0.99375
ZlcjYfd0rYM_000012,playing bass drum,0.28125,0.459375,0.9,0.9375
nqsycWEgIio_000209,parrot talking,0.3125,0.096875,0.821875,0.978125
Cmb7oRnRLio_000034,whale calling,0.0,0.334375,0.471875,0.88125
O9M7RtFP_-Y_000010,playing glockenspiel,0.04375,0.53125,0.575,0.9875
lkLg1kI06UM_000406,slot machine,0.071875,0.05625,0.8718750000000001,0.6843750000000001
d7Xf7brOPzw_000149,cat caterwauling,0.459375,0.265625,0.903125,0.921875
CA5iF0mpXFE_000030,playing harmonica,0.5125,0.340625,0.81875,0.596875
v-wAote9cyA_000001,tractor digging,0.4,0.13125,0.6937500000000001,0.7218749999999999
BWlYf-hKucs_000083,people gargling,0.703125,0.378125,0.890625,0.678125
HCmwbTIHIcw_000002,snake hissing,0.04375,0.04375,0.796875,0.928125
Aq58qBpVkv8_000160,people shuffling,0.3625,0.0,0.7375,0.83125
7PK3nvCihMk_000011,bull bellowing,0.009375,0.25,0.728125,0.8125
4-DcTjFR4qw_000100,car passing by,0.5,0.30625,0.7625,0.578125
bOD-pt3NWYc_000018,"ice cream truck, ice cream van",0.371875,0.21875,0.66875,0.496875
miT69L7G9iA_000140,people babbling,0.590625,0.25625,0.765625,0.453125
_UmY2aYt1YQ_000030,"race car, auto racing",0.48125,0.375,0.8,0.615625
jR-H47v1arg_000080,"pigeon, dove cooing",0.23125,0.16875,0.7250000000000001,0.7406250000000001
pVf84f6xrBw_000070,"playing steel guitar, slide guitar",0.059375,0.103125,0.928125,0.9875
qEJ_jxZzt7k_000030,tapping guitar,0.175,0.228125,0.953125,0.584375
Y-qOOR0izlE_000102,helicopter,0.128125,0.246875,0.95625,0.703125
zey5f-NjbtE_000002,people giggling,0.334375,0.05,0.765625,0.5281250000000001
jbH4PifIg-g_000006,playing tambourine,0.421875,0.578125,0.6625,0.925
uz-_ROIn0bM_000035,blowtorch igniting,0.0375,0.371875,0.865625,0.80625
VgAXZHMi_ws_000015,goat bleating,0.425,0.425,0.71875,0.85625
mOPJRy2Nv_o_000134,tractor digging,0.253125,0.30625,0.875,0.875
1_xoCNmTn3Y_000012,coyote howling,0.265625,0.225,0.58125,0.7531249999999999
-NCa3eFLULw_000221,dinosaurs bellowing,0.084375,0.15,0.965625,0.95625
